Sums,Shift scatterplot ,,,,,,
1,4194972.5,,,,,,
2,4201457.5,,,,,,
3,4122437.5,,,,,,
4,3845175,,,,,,
5,4009853,,,,,,
6,3988094.75,,,,,,
7,3680957,,,,,,
8,3709816,,,,,,
9,3567168.25,,,,,,
10,3402160.75,,,,,,
11,3279105.75,,,,,,
12,3068822.5,,,,,,
13,3054554.75,,,,,,
14,2812166,,,,,,
15,2681808.75,,,,,,
16,2307809.75,,,,,,
17,2170863.25,,,,,,
18,1917479.25,,,,,,
19,1731704.75,,,,,,
20,1573223.38,,,,,,
21,1225568,,,,,,
22,949636.25,,,,,,
23,697469.81,,,,,,
24,349648,,,,,,
25,389775.44,,,,,,
26,56875.36,,,,,,
27,-207919.3,,,,,,
28,-327325.91,,,,,,
29,-680530,,,,,,
30,-1042662.38,,,,,,
31,-1184953,,,,,,
32,-1484694.38,,,,,,
33,-1752710.25,,,,,,
34,-1844100.12,,,,,,
35,-2148973.5,,,,,,
36,-2195759.5,,,,,,
37,-2391852,,,,,,
38,-2714998.5,,,,,,
39,-2873244.25,,,,,,
40,-2986004,,,,,,
41,-3197628.75,,,,,,
42,-3330828,,,,,,
43,-3415595.5,,,,,,
44,-3529117.5,,,,,,
45,-3728992.25,,,,,,
46,-3768242,,,,,,
47,-3913961.75,,,,,,
48,-3884549.25,,,,,,
49,-3981406,,,,,,
50,-3973626,,,,,,
51,-4182418.5,,,,,,
52,-4118351,,,,,,
53,-4062754.75,,,,,,
54,-4093572,,,,,,
55,-4075089.75,,,,,,
56,-4022253.5,,,,,,
57,-4136223.5,,,,,,
58,-3731179.75,,,,,,
59,-3737392.25,,,,,,
60,-3704441.5,,,,,,
61,-3730864.75,,,,,,
62,-3564685,,,,,,
63,-3514972,,,,,,
64,-3220744.75,,,,,,
65,-3272169,,,,,,
66,-2925979,,,,,,
67,-2693550.5,,,,,,
68,-2515851,,,,,,
69,-2175034.75,,,,,,
70,-2052311.75,,,,,,
71,-1730518,,,,,,
72,-1606371.25,,,,,,
73,-1373016.62,,,,,,
74,-1299257.75,,,,,,
75,-943268.06,,,,,,
76,-668807,,,,,,
77,-451667.12,,,,,,
78,-174315.2,,,,,,
79,168997.52,,,,,,
80,292775.28,,,,,,
81,517954.69,,,,,,
82,831841.62,,,,,,
83,1175749.75,,,,,,
84,1306975,,,,,,
85,1537154.5,,,,,,
86,1775185.38,,,,,,
87,2142712.5,,,,,,
88,2199321.75,,,,,,
89,2381975.75,,,,,,
90,2833951.25,,,,,,
91,2694845.25,,,,,,
92,2843832.75,,,,,,
93,3180952,,,,,,
94,3265038.25,,,,,,
95,3548372.5,,,,,,
96,3516923.25,,,,,,
97,3595668.25,,,,,,
98,3788152,,,,,,
99,3981913,,,,,,
100,3789738,,,,,,
101,3976030,,,,,,
102,4148560,,,,,,
103,4200854,,,,,,
104,4174960,,,,,,
105,4173276,,,,,,
106,4244428,,,,,,
